onset,end,onset_TR,end_TR,duration,duration_TR,diff_belief_IT,diff_belief_JG,diff_belief_MM,diff_belief_VS,diff_belief_YY,diff_emotion_IT,diff_emotion_JG,diff_emotion_MM,diff_emotion_VS,diff_emotion_YY,diff_intention_IT,diff_intention_JG,diff_intention_MM,diff_intention_VS,diff_intention_YY
0.0,7.5,1.0,5.0,7.5,5.0,1.0,4.0,5.0,5.0,4.0,2.0,5.0,3.0,5.0,1.0,3.0,4.0,5.0,5.0,4.0
7.5,20.9,6.0,14.0,13.4,9.0,1.0,4.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,4.0,1.0,3.0,2.0,5.0,1.0
20.9,23.5,15.0,16.0,2.6,2.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0
23.5,29.8,17.0,20.0,6.3,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0
29.8,34.6,21.0,23.0,4.8,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0
34.6,39.6,24.0,26.0,5.0,3.0,3.0,5.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,1.0
39.6,45.2,27.0,30.0,5.6,4.0,2.0,4.0,2.0,5.0,4.0,2.0,3.0,3.0,5.0,3.0,2.0,4.0,2.0,5.0,1.0
45.2,55.6,31.0,37.0,10.4,7.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0
55.6,58.3,38.0,39.0,2.7,2.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,4.0,5.0,1.0
58.3,62.7,40.0,42.0,4.4,3.0,2.0,1.0,2.0,3.0,4.0,3.0,1.0,3.0,5.0,4.0,1.0,2.0,3.0,5.0,4.0
62.7,66.1,43.0,44.0,3.4,2.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,1.0
66.1,72.4,45.0,48.0,6.3,4.0,2.0,4.0,3.0,2.0,1.0,3.0,5.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0
72.4,80.0,49.0,53.0,7.6,5.0,1.0,4.0,5.0,3.0,1.0,3.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0
80.0,81.7,54.0,54.0,1.7,1.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0
81.7,85.4,55.0,57.0,3.7,3.0,3.0,3.0,3.0,5.0,1.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,3.0
85.4,88.4,58.0,59.0,3.0,2.0,3.0,3.0,1.0,5.0,1.0,3.0,4.0,1.0,5.0,3.0,3.0,2.0,1.0,5.0,1.0
88.4,89.9,60.0,60.0,1.5,1.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0
89.9,92.4,61.0,62.0,2.5,2.0,3.0,3.0,3.0,5.0,1.0,3.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0
92.4,93.76,63.0,63.0,1.36,1.0,1.0,4.0,4.0,5.0,5.0,1.0,4.0,4.0,5.0,1.0,1.0,3.0,4.0,5.0,1.0
93.76,98.2,64.0,65.0,4.44,2.0,1.0,4.0,1.0,5.0,1.0,5.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,1.0
98.2,101.9,66.0,68.0,3.7,3.0,1.0,4.0,1.0,4.0,1.0,5.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0
101.9,106.4,69.0,71.0,4.5,3.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0
106.4,110.0,72.0,73.0,3.6,2.0,5.0,5.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1.0
110.0,113.3,74.0,76.0,3.3,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
113.3,117.5,77.0,78.0,4.2,2.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,1.0
117.5,119.0,79.0,79.0,1.5,1.0,1.0,4.0,3.0,5.0,5.0,1.0,4.0,2.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0
119.0,120.5,80.0,80.0,1.5,1.0,5.0,4.0,5.0,3.0,1.0,5.0,4.0,5.0,4.0,1.0,5.0,5.0,5.0,3.0,1.0
120.5,122.8,81.0,82.0,2.3,2.0,3.0,4.0,2.0,5.0,1.0,4.0,3.0,2.0,5.0,1.0,3.0,1.0,2.0,4.0,1.0
122.8,127.8,83.0,85.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0
127.8,130.0,86.0,87.0,2.2,2.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,4.0
130.0,132.7,88.0,88.0,2.7,1.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0
132.7,136.2,89.0,91.0,3.5,3.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0
136.2,137.8,92.0,92.0,1.6,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
137.8,141.6,93.0,94.0,3.8,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0
141.6,143.3,95.0,96.0,1.7,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
143.3,144.9,97.0,97.0,1.6,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
144.9,146.8,98.0,98.0,1.9,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0
146.8,149.5,99.0,100.0,2.7,2.0,1.0,3.0,2.0,2.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0
149.5,151.0,101.0,101.0,1.5,1.0,1.0,3.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
151.0,152.7,102.0,102.0,1.7,1.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0
152.7,153.5,103.0,102.0,0.8,0.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0
153.5,154.4,103.0,103.0,0.9,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
154.4,155.1,104.0,103.0,0.7,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
155.1,161.5,104.0,108.0,6.4,5.0,4.0,2.0,4.0,1.0,1.0,5.0,4.0,4.0,2.0,1.0,4.0,2.0,5.0,2.0,4.0
161.5,166.6,109.0,111.0,5.1,3.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0
166.6,176.1,112.0,117.0,9.5,6.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,5.0,3.0,5.0
176.1,180.9,118.0,121.0,4.8,4.0,1.0,4.0,1.0,3.0,2.0,5.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0
180.9,185.5,122.0,124.0,4.6,3.0,1.0,4.0,1.0,4.0,2.0,5.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0
185.5,189.8,125.0,127.0,4.3,3.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0
189.8,194.0,128.0,129.0,4.2,2.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0
194.0,199.4,130.0,133.0,5.4,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
199.4,200.9,134.0,134.0,1.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0
200.9,202.9,135.0,135.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0
202.9,206.6,136.0,138.0,3.7,3.0,4.0,1.0,4.0,3.0,1.0,5.0,2.0,3.0,3.0,1.0,5.0,4.0,5.0,3.0,1.0
206.6,211.2,139.0,141.0,4.6,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0
211.2,213.0,142.0,142.0,1.8,1.0,4.0,2.0,5.0,3.0,1.0,5.0,2.0,3.0,4.0,1.0,5.0,4.0,5.0,3.0,4.0
213.0,217.8,143.0,145.0,4.8,3.0,4.0,2.0,5.0,3.0,1.0,5.0,2.0,3.0,4.0,1.0,5.0,4.0,5.0,4.0,3.0
217.8,219.1,146.0,146.0,1.3,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0
219.1,223.0,147.0,149.0,3.9,3.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0
223.0,225.8,150.0,151.0,2.8,2.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0
225.8,230.0,152.0,153.0,4.2,2.0,5.0,1.0,2.0,4.0,1.0,5.0,1.0,2.0,4.0,2.0,5.0,1.0,4.0,4.0,1.0
230.0,233.3,154.0,156.0,3.3,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0
233.3,236.34,157.0,158.0,3.04,2.0,1.0,4.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0
236.34,244.5,159.0,163.0,8.16,5.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0
244.5,245.7,164.0,164.0,1.2,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0
245.7,247.2,165.0,165.0,1.5,1.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0
247.2,248.8,166.0,166.0,1.6,1.0,1.0,4.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0
248.8,250.7,167.0,167.0,1.9,1.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0
250.7,255.4,168.0,170.0,4.7,3.0,1.0,5.0,1.0,3.0,3.0,5.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0
255.4,261.0,171.0,174.0,5.6,4.0,1.0,5.0,1.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0
261.0,263.0,175.0,175.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0
263.0,266.5,176.0,178.0,3.5,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0
266.5,274.1,179.0,183.0,7.6,5.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,2.0,5.0,3.0,5.0,2.0,4.0
274.1,276.3,184.0,184.0,2.2,1.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0
276.3,283.6,185.0,189.0,7.3,5.0,4.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0
283.6,286.9,190.0,191.0,3.3,2.0,4.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0
286.9,296.7,192.0,198.0,9.8,7.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,1.0,4.0,5.0,5.0,2.0,4.0
296.7,301.7,199.0,201.0,5.0,3.0,5.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,2.0,4.0
301.7,305.1,202.0,203.0,3.4,2.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0
305.1,306.6,204.0,204.0,1.5,1.0,4.0,4.0,5.0,5.0,1.0,4.0,3.0,5.0,5.0,2.0,4.0,4.0,3.0,5.0,1.0
306.6,309.2,205.0,206.0,2.6,2.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0
309.2,310.2,207.0,207.0,1.0,1.0,5.0,4.0,5.0,3.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0
310.2,318.0,208.0,212.0,7.8,5.0,5.0,4.0,5.0,3.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0
318.0,320.1,213.0,213.0,2.1,1.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0
320.1,323.1,214.0,215.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,1.0,4.0,1.0
323.1,325.3,216.0,217.0,2.2,2.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0
325.3,331.2,218.0,221.0,5.9,4.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0
331.2,333.6,222.0,222.0,2.4,1.0,1.0,2.0,3.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0
