onset,text,duration,onset_TR,speaker
20.97,When,0.21,13.98,
21.18,the,0.09,14.12,
21.27,phone,0.27,14.18,
21.54,rang,0.42,14.36,
22.05,the,0.15,14.7,
22.2,gray-haired,0.48,14.8,
22.68,man,0.3,15.12,
22.98,asked,0.33,15.32,
23.31,the,0.06,15.54,
23.37,"girl,",0.36,15.58,
23.73,with,0.21,15.82,
23.97,quite,0.3,15.98,
24.27,some,0.24,16.18,
24.51,little,0.21,16.34,
24.72,"deference,",0.69,16.48,
25.74,if,0.15,17.16,
25.89,she,0.15,17.26,
26.04,would,0.15,17.36,
26.19,rather,0.27,17.46,
26.46,for,0.18,17.64,
26.64,any,0.18,17.76,
26.82,reason,0.39,17.88,
27.21,he,0.12,18.14,
27.33,didn't,0.24,18.22,
27.57,answer,0.33,18.38,
27.9,it.,0.18,18.6,
28.92,The,0.12,19.28,
29.04,girl,0.3,19.36,
29.34,heard,0.24,19.56,
29.58,him,0.18,19.72,
29.76,as,0.15,19.84,
29.91,if,0.12,19.94,
30.03,from,0.18,20.02,
30.21,a,0.06,20.14,
30.27,"distance,",0.63,20.18,
30.9,and,0.18,20.6,
31.08,turned,0.3,20.72,
31.38,her,0.09,20.92,
31.47,face,0.3,20.98,
31.77,toward,0.27,21.18,
32.04,"him,",0.21,21.36,
32.52,one,0.27,21.68,
32.79,eye�,0.24,21.86,
33.03,on,0.15,22.02,
33.18,the,0.06,22.12,
33.24,side,0.24,22.16,
33.48,of,0.09,22.32,
33.57,the,0.09,22.38,
33.66,light�closed,0.65,22.44,
34.41,"tight,",0.39,22.94,
35.22,her,0.15,23.48,
35.37,open,0.33,23.58,
35.7,eye,0.18,23.8,
35.89,"very,",0.38,23.92666667,
36.27,"however,",0.48,24.18,
37.08,disingenuously,1.08,24.72,
38.16,"large,",0.48,25.44,
39,and,0.15,26,
39.15,so,0.24,26.1,
39.39,blue,0.3,26.26,
39.69,as,0.18,26.46,
39.87,to,0.12,26.58,
39.99,appear,0.39,26.66,
40.38,almost,0.51,26.92,
40.89,violet.,0.51,27.26,
42.24,The,0.09,28.16,
42.33,gray-haired,0.51,28.22,
42.84,man,0.27,28.56,
43.11,asked,0.33,28.74,
43.44,her,0.12,28.96,
43.56,to,0.15,29.04,
43.71,hurry,0.33,29.14,
44.04,"up,",0.21,29.36,
44.25,and,0.12,29.5,
44.37,she,0.21,29.58,
44.58,raised,0.42,29.72,
45,up,0.18,30,
45.18,on,0.15,30.12,
45.33,her,0.18,30.22,
45.51,right,0.27,30.34,
45.78,forearm,0.54,30.52,
46.32,just,0.3,30.88,
46.62,quickly,0.42,31.08,
47.04,enough,0.27,31.36,
47.76,so,0.18,31.84,
47.94,that,0.18,31.96,
48.12,the,0.09,32.08,
48.21,movement,0.45,32.14,
48.66,didn't,0.27,32.44,
48.93,quite,0.42,32.62,
49.35,look,0.21,32.9,
49.56,perfunctory.,0.66,33.04,
51.33,She,0.18,34.22,
51.51,cleared,0.27,34.34,
51.78,her,0.12,34.52,
51.9,hair,0.27,34.6,
52.17,back,0.3,34.78,
52.47,from,0.39,34.98,
52.92,her,0.27,35.28,
53.19,forehead,0.57,35.46,
53.76,with,0.35,35.84,
54.6,her,0.15,36.4,
54.75,left,0.33,36.5,
55.08,hand,0.42,36.72,
55.5,and,0.12,37,
55.62,"said,",0.84,37.08,
56.73,"""God.",0.51,37.82,girl
57.99,I,0.12,38.66,girl
58.11,don't,0.15,38.74,girl
58.26,"know,",0.18,38.84,girl
58.44,I,0.09,38.96,girl
58.53,mean,0.24,39.02,girl
58.8,what,0.18,39.2,girl
58.98,do,0.06,39.32,girl
59.04,you,0.12,39.36,girl
59.16,"think?""",0.36,39.44,girl
60.54,The,0.12,40.36,
60.66,gray-haired,0.48,40.44,
61.14,man,0.24,40.76,
61.38,said,0.3,40.92,
61.68,he,0.21,41.12,
62.04,didn't,0.3,41.36,
62.34,see,0.33,41.56,
62.67,that,0.18,41.78,
62.85,it,0.24,41.9,
63.3,made,0.3,42.2,
63.6,a,0.06,42.4,
63.66,helluva,0.48,42.44,
64.2,lot,0.33,42.8,
64.53,of,0.12,43.02,
64.65,difference,0.51,43.1,
65.16,one,0.21,43.44,
65.37,way,0.09,43.58,
65.46,or,0.09,43.64,
65.55,the,0.15,43.7,
65.7,"other,",0.33,43.8,
66.48,and,0.12,44.32,
66.6,slipped,0.33,44.4,
66.93,his,0.15,44.62,
67.08,left,0.3,44.72,
67.38,hand,0.27,44.92,
67.65,under,0.18,45.1,
67.83,the,0.09,45.22,
67.92,girl's,0.24,45.28,
68.2,supporting,0.47,45.46666667,
68.67,"arm,",0.42,45.78,
69.36,above,0.27,46.24,
69.63,the,0.12,46.42,
69.75,"elbow,",0.42,46.5,
70.41,working,0.36,46.94,
70.77,his,0.18,47.18,
70.95,fingers,0.36,47.3,
71.31,"up,",0.18,47.54,
71.52,making,0.39,47.68,
71.91,room,0.3,47.94,
72.21,for,0.15,48.14,
72.36,them,0.24,48.24,
72.6,between,0.57,48.4,
73.32,the,0.12,48.88,
73.44,warm,0.3,48.96,
73.74,surfaces,0.6,49.16,
74.34,of,0.12,49.56,
74.46,her,0.21,49.64,
74.73,upper,0.27,49.82,
75,arm,0.36,50,
75.36,and,0.09,50.24,
75.45,chest,0.33,50.3,
75.78,wall.,0.63,50.52,
76.95,He,0.12,51.3,
77.07,reached,0.27,51.38,
77.34,for,0.09,51.56,
77.43,the,0.15,51.62,
77.58,phone,0.48,51.72,
78.09,with,0.18,52.06,
78.27,his,0.15,52.18,
78.42,right,0.24,52.28,
78.66,hand.,0.36,52.44,
79.95,"""Hello?""",0.51,53.3,Lee
81.3,he,0.12,54.2,
81.42,said,0.24,54.28,
81.66,resonantly,0.84,54.44,
82.5,into,0.21,55,
82.71,the,0.12,55.14,
82.83,phone.,0.42,55.22,
83.82,The,0.12,55.88,
83.94,girl,0.24,55.96,
84.19,stayed,0.41,56.12666667,
84.6,propped,0.36,56.4,
84.96,up,0.12,56.64,
85.08,on,0.15,56.72,
85.23,her,0.09,56.82,
85.32,forearm,0.57,56.88,
85.89,and,0.21,57.26,
86.13,watched,0.42,57.42,
86.55,him.,0.18,57.7,
87.57,Her,0.15,58.38,
87.72,"eyes,",0.48,58.48,
88.2,more,0.39,58.8,
88.62,just,0.36,59.08,
88.98,open,0.39,59.32,
89.37,than,0.15,59.58,
89.52,alert,0.33,59.68,
89.85,or,0.06,59.9,
89.91,"speculative,",0.75,59.94,
90.9,reflected,0.45,60.6,
91.35,chiefly,0.39,60.9,
91.74,their,0.18,61.16,
91.92,own,0.18,61.28,
92.1,size,0.39,61.4,
92.49,and,0.12,61.66,
92.61,color.,0.33,61.74,
94.5,A,0.06,63,
94.56,man's,0.3,63.04,
94.86,voice�stone,1.05,63.24,
95.91,"dead,",0.36,63.94,
96.27,yet,0.3,64.18,
96.6,somehow,0.48,64.4,
97.08,"rudely,",0.45,64.72,
97.53,almost,0.39,65.02,
97.92,obscenely,0.54,65.28,
98.46,quickened,0.42,65.64,
98.88,for,0.12,65.92,
99,the,0.12,66,
99.12,occasion�,0.45,66.08,
99.57,came,0.24,66.38,
99.81,through,0.21,66.54,
100.02,at,0.09,66.68,
100.11,the,0.09,66.74,
100.2,other,0.21,66.8,
100.41,end:,0.27,66.94,
101.13,"""Lee?",0.54,67.42,Arthur
101.7,Did,0.18,67.8,Arthur
101.88,I,0.06,67.92,Arthur
101.94,wake,0.24,67.96,Arthur
102.18,"you?""",0.21,68.12,Arthur
103.29,The,0.12,68.86,
103.41,gray-haired,0.48,68.94,
103.89,man,0.39,69.26,
104.52,glanced,0.48,69.68,
105,briefly,0.39,70,
105.39,"left,",0.3,70.26,
105.69,at,0.09,70.46,
105.78,the,0.06,70.52,
105.84,girl.,0.33,70.56,
106.53,"""Who",0.12,71.02,Lee
106.65,is,0.12,71.1,Lee
106.77,"that?""",0.51,71.18,Lee
107.37,he,0.5,71.58,
107.87,asked.,0.52,71.91333333,
108.39,"""Arthur?""",0.51,72.26,Lee
109.62,"""Yeah�",0.45,73.08,Arthur
110.07,I,0.09,73.38,Arthur
110.16,wake,0.24,73.44,Arthur
110.4,"you?""",0.18,73.6,Arthur
110.94,"""No,",0.36,73.96,Lee
111.59,no.,0.33,74.39333333,Lee
111.93,I'm,0.18,74.62,Lee
112.11,in,0.12,74.74,Lee
112.23,bed,0.27,74.82,Lee
112.5,reading.,0.36,75,Lee
113.52,Anything,0.36,75.68,Lee
113.88,"wrong?""",0.42,75.92,Lee
115.08,"""The",0.18,76.72,Arthur
115.26,reason,0.27,76.84,Arthur
115.53,I,0.06,77.02,Arthur
115.59,"called,",0.33,77.06,Arthur
115.92,"Lee,",0.42,77.28,Arthur
116.82,did,0.33,77.88,Arthur
117.15,you,0.09,78.1,Arthur
117.24,happen,0.24,78.16,Arthur
117.48,to,0.06,78.32,Arthur
117.54,notice,0.27,78.36,Arthur
117.81,when,0.15,78.54,Arthur
117.96,Joanie,0.33,78.64,Arthur
118.29,was,0.18,78.86,Arthur
118.47,leaving?,0.45,78.98,Arthur
119.1,Did,0.3,79.4,Arthur
119.4,you,0.09,79.6,Arthur
119.49,happen,0.21,79.66,Arthur
119.7,to,0.06,79.8,Arthur
119.76,notice,0.33,79.84,Arthur
120.09,if,0.12,80.06,Arthur
120.21,she,0.36,80.14,Arthur
120.57,left,0.33,80.38,Arthur
120.9,with,0.12,80.6,Arthur
121.02,the,0.09,80.68,Arthur
121.11,"Ellenbogens,",0.66,80.74,Arthur
121.8,by,0.18,81.2,Arthur
121.98,any,0.18,81.32,Arthur
122.16,"chance?""",0.39,81.44,Arthur
123.33,The,0.09,82.22,
123.42,gray-haired,0.42,82.28,
123.84,man,0.24,82.56,
124.08,looked,0.26,82.72,
124.37,left,0.31,82.91333333,
124.68,"again,",0.33,83.12,
125.55,but,0.18,83.7,
125.73,high,0.27,83.82,
126,this,0.24,84,
126.24,"time,",0.27,84.16,
126.51,away,0.21,84.34,
126.72,from,0.21,84.48,
126.93,the,0.09,84.62,
127.02,"girl,",0.3,84.68,
127.35,who,0.12,84.9,
127.47,was,0.18,84.98,
127.65,now,0.24,85.1,
127.89,watching,0.39,85.26,
128.28,him,0.15,85.52,
128.43,rather,0.24,85.62,
128.67,like,0.18,85.78,
128.85,a,0.06,85.9,
128.91,"young,",0.42,85.94,
129.33,blue-eyed,0.48,86.22,
129.84,Irish,0.33,86.56,
130.17,policemen.,0.51,86.78,
131.49,"""No,",0.6,87.66,Lee
132.09,I,0.12,88.06,Lee
132.21,"didn't,",0.33,88.14,Lee
132.54,"Arthur,""",0.39,88.36,Lee
133.44,he,0.15,88.96,
133.59,"said,",0.39,89.06,
134.37,his,0.15,89.58,
134.52,eyes,0.3,89.68,
134.82,on,0.12,89.88,
134.94,the,0.06,89.96,
135,"far,",0.3,90,
135.3,dim,0.33,90.2,
135.63,end,0.33,90.42,
135.96,of,0.06,90.64,
136.02,the,0.09,90.68,
136.11,"room,",0.39,90.74,
136.86,where,0.15,91.24,
137.01,the,0.12,91.34,
137.13,wall,0.24,91.42,
137.37,met,0.15,91.58,
137.52,the,0.09,91.68,
137.61,ceiling.,0.42,91.74,
138.42,"""Uh,",0.18,92.28,Lee
138.6,didn't,0.24,92.4,Lee
138.84,she,0.18,92.56,Lee
139.02,leave,0.21,92.68,Lee
139.23,with,0.12,92.82,Lee
139.35,"you?""",0.3,92.9,Lee
140.16,"""No,",0.39,93.44,Arthur
140.55,Christ.,0.54,93.7,Arthur
141.75,You,0.36,94.5,Arthur
142.11,didn't,0.18,94.74,Arthur
142.29,see,0.18,94.86,Arthur
142.47,her,0.09,94.98,Arthur
142.56,leave,0.21,95.04,Arthur
142.77,at,0.09,95.18,Arthur
142.86,"all,",0.15,95.24,Arthur
143.01,"then?""",0.99,95.34,Arthur
144,"""Well,",0.3,96,Lee
144.3,"no,",0.41,96.2,Lee
144.71,as,0.22,96.47333333,Lee
144.93,a,0.03,96.62,Lee
144.96,matter,0.24,96.64,Lee
145.2,of,0.12,96.8,Lee
145.32,"fact,",0.27,96.88,Lee
145.59,I,0.24,97.06,Lee
145.86,"didn't,",0.39,97.24,Lee
146.25,"Arthur,""",0.36,97.5,Lee
147.27,the,0.09,98.18,
147.36,gray-haired,0.45,98.24,
147.81,man,0.21,98.54,
148.02,said.,0.33,98.68,
148.65,"""Why?",0.39,99.1,Lee
149.04,What's,0.27,99.36,Lee
149.31,up?,0.45,99.54,Lee
149.82,Joanie,0.33,99.88,Lee
150.15,"lost?""",0.42,100.1,Lee
151.08,"""Oh",0.18,100.72,Arthur
151.26,Christ.,0.69,100.84,Arthur
152.31,Who,0.15,101.54,Arthur
152.46,knows?,0.3,101.64,Arthur
152.76,I,0.16,101.84,Arthur
153.03,don't,0.18,102.02,Arthur
153.21,know.,0.3,102.14,Arthur
154.02,You,0.18,102.68,Arthur
154.2,know,0.21,102.8,Arthur
154.41,her,0.21,102.94,Arthur
154.82,when,0.16,103.2133333,Arthur
154.98,she,0.15,103.32,Arthur
155.13,gets,0.18,103.42,Arthur
155.31,all,0.15,103.54,Arthur
155.46,tanked,0.42,103.64,Arthur
155.88,up,0.18,103.92,Arthur
156.06,and,0.12,104.04,Arthur
156.18,raring,0.3,104.12,Arthur
156.48,to,0.06,104.32,Arthur
156.54,go.,0.27,104.36,Arthur
156.81,I,0.45,104.54,Arthur
157.29,don't,0.18,104.86,Arthur
157.47,know.,0.27,104.98,Arthur
157.92,She,0.21,105.28,Arthur
158.13,may,0.12,105.42,Arthur
158.25,have,0.12,105.5,Arthur
158.37,"just�""",0.3,105.58,Arthur
158.97,"""You",0.42,105.98,Lee
159.39,call,0.33,106.26,Lee
159.72,the,0.09,106.48,Lee
159.81,"Ellenbogens?""",0.81,106.54,Lee
161.19,the,0.12,107.46,
161.31,gray-haired,0.45,107.54,
161.76,man,0.21,107.84,
161.98,asked.,0.29,107.9866667,
162.63,"""Yeah,",0.3,108.42,Arthur
162.93,yeah.,0.27,108.62,Arthur
163.2,They're,0.15,108.8,Arthur
163.35,not,0.18,108.9,Arthur
163.53,home,0.21,109.02,Arthur
163.74,yet.,0.27,109.16,Arthur
164.43,I,0.18,109.62,Arthur
164.61,don't,0.15,109.74,Arthur
164.76,know.,0.21,109.84,Arthur
164.97,"Christ,",0.66,109.98,Arthur
165.87,I'm,0.12,110.58,Arthur
165.99,not,0.15,110.66,Arthur
166.14,even,0.18,110.76,Arthur
166.32,sure,0.3,110.88,Arthur
166.62,she,0.18,111.08,Arthur
166.8,left,0.3,111.2,Arthur
167.1,with,0.15,111.4,Arthur
167.25,them.,0.24,111.5,Arthur
168.15,I,0.12,112.1,Arthur
168.27,know,0.18,112.18,Arthur
168.45,one,0.27,112.3,Arthur
168.72,thing.,0.21,112.48,Arthur
168.93,I,0.09,112.62,Arthur
169.02,know,0.18,112.68,Arthur
169.2,one,0.24,112.8,Arthur
169.44,goddamn,0.57,112.96,Arthur
170.01,thing.,0.24,113.34,Arthur
170.25,I'm,0.18,113.5,Arthur
170.43,through,0.39,113.62,Arthur
170.82,beating,0.26,113.88,Arthur
171.08,my,0.16,114.0533333,Arthur
171.24,brains,0.39,114.16,Arthur
171.63,out.,0.18,114.42,Arthur
171.81,I,0.09,114.54,Arthur
171.9,mean,0.27,114.6,Arthur
172.17,it.,0.09,114.78,Arthur
172.68,I,0.15,115.12,Arthur
172.83,really,0.21,115.22,Arthur
173.04,mean,0.18,115.36,Arthur
173.22,it,0.12,115.48,Arthur
173.34,this,0.15,115.56,Arthur
173.49,time.,0.27,115.66,Arthur
173.76,I'm,0.12,115.84,Arthur
173.88,through.,0.42,115.92,Arthur
174.63,Five,0.3,116.42,Arthur
174.93,years.,0.3,116.62,Arthur
175.23,"Christ.""",0.63,116.82,Arthur
176.19,"""All",0.12,117.46,Lee
176.31,"right,",0.27,117.54,Lee
176.58,all,,,Lee
177.1,"right,",,,Lee
178.62,try,0.18,119.08,Lee
178.8,to,0.12,119.2,Lee
179,take,,,Lee
179.11,it,0.09,119.4066667,Lee
179.2,a,0.03,119.4666667,Lee
179.23,little,0.15,119.4866667,Lee
179.38,"easy, ",0.3,119.5866667,Lee
179.68,"now,",0.21,119.7866667,Lee
179.89,"Arthur,""",0.31,119.9266667,Lee
180.97,the,0.09,120.6466667,
181.06,gray-haired,0.54,120.7066667,
181.6,man,0.24,121.0666667,
181.84,said.,0.36,121.2266667,
182.56,He,0.12,121.7066667,
182.68,turned,0.33,121.7866667,
183.01,and,0.09,122.0066667,
183.1,gave,0.27,122.0666667,
183.37,the,0.06,122.2466667,
183.43,girl,0.33,122.2866667,
183.76,a,0.06,122.5066667,
183.82,"sign,",0.51,122.5466667,
184.33,with,0.12,122.8866667,
184.45,two,0.18,122.9666667,
184.63,fingers,0.36,123.0866667,
184.99,near,0.15,123.3266667,
185.14,his,0.15,123.4266667,
185.29,"mouth,",0.36,123.5266667,
185.98,that,0.15,123.9866667,
186.13,he,0.12,124.0866667,
186.25,wanted,0.3,124.1666667,
186.55,a,0.06,124.3666667,
186.61,cigarette.,0.51,124.4066667,
187.72,"""In",0.12,125.1466667,Lee
187.84,the,0.09,125.2266667,Lee
187.93,first,0.3,125.2866667,Lee
188.23,"place,",0.36,125.4866667,Lee
189.19,if,0.15,126.1266667,Lee
189.34,I,0.12,126.2266667,Lee
189.46,know,0.18,126.3066667,Lee
189.64,the,0.15,126.4266667,Lee
189.79,"Ellenbogens,",0.69,126.5266667,Lee
191.17,they,0.27,127.4466667,Lee
191.44,probably,0.54,127.6266667,Lee
191.98,all,0.18,127.9866667,Lee
192.16,hopped,0.36,128.1066667,Lee
192.52,in,0.09,128.3466667,Lee
192.61,a,0.06,128.4066667,Lee
192.67,cab,0.39,128.4466667,Lee
193.06,and,0.09,128.7066667,Lee
193.15,went,0.24,128.7666667,Lee
193.39,down,0.27,128.9266667,Lee
193.66,to,0.06,129.1066667,Lee
193.72,the,0.12,129.1466667,Lee
193.84,Village,0.36,129.2266667,Lee
194.23,for,0.12,129.4866667,Lee
194.35,a,0.06,129.5666667,Lee
194.41,couple,0.24,129.6066667,Lee
194.65,of,0.09,129.7666667,Lee
194.74,hours.,0.45,129.8266667,Lee
195.25,All,0.21,130.1666667,Lee
195.46,three,0.27,130.3066667,Lee
195.73,of,0.12,130.4866667,Lee
195.85,them'll,0.15,130.5666667,Lee
196.13,probably,0.5,130.7533333,Lee
196.63,"barge�""",0.36,131.0866667,Lee
197.08,"""I",0.21,131.3866667,Arthur
197.29,have,0.18,131.5266667,Arthur
197.47,a,0.09,131.6466667,Arthur
197.56,feeling,0.42,131.7066667,Arthur
197.98,she,0.21,131.9866667,Arthur
198.19,went,0.18,132.1266667,Arthur
198.37,to,0.12,132.2466667,Arthur
198.49,work,0.27,132.3266667,Arthur
198.76,on,0.18,132.5066667,Arthur
198.94,some,0.36,132.6266667,Arthur
199.3,bastard,0.54,132.8666667,Arthur
199.84,in,0.09,133.2266667,Arthur
199.93,the,0.06,133.2866667,Arthur
199.99,kitchen.,0.39,133.3266667,Arthur
200.71,I,0.12,133.8066667,Arthur
200.83,just,0.21,133.8866667,Arthur
201.04,have,0.12,134.0266667,Arthur
201.16,a,0.06,134.1066667,Arthur
201.22,feeling.,0.42,134.1466667,Arthur
202.9,She,0.15,135.2666667,Arthur
203.05,always,0.24,135.3666667,Arthur
203.29,starts,0.3,135.5266667,Arthur
203.59,necking,0.24,135.7266667,Arthur
203.95,some,0.24,135.9666667,Arthur
204.19,bastard,0.48,136.1266667,Arthur
204.67,in,0.06,136.4466667,Arthur
204.73,the,0.09,136.4866667,Arthur
204.82,kitchen,0.33,136.5466667,Arthur
205.15,when,0.12,136.7666667,Arthur
205.27,she,0.15,136.8466667,Arthur
205.42,gets,0.21,136.9466667,Arthur
205.63,tanked,0.33,137.0866667,Arthur
205.96,up.,0.18,137.3066667,Arthur
206.89,I'm,0.33,137.9266667,Arthur
207.22,through.,0.39,138.1466667,Arthur
208.21,I,0.15,138.8066667,Arthur
208.36,swear,0.3,138.9066667,Arthur
208.66,to,0.06,139.1066667,Arthur
208.72,God,0.21,139.1466667,Arthur
208.93,I,0.09,139.2866667,Arthur
209.02,mean,0.21,139.3466667,Arthur
209.23,it,0.09,139.4866667,Arthur
209.32,this,0.18,139.5466667,Arthur
209.5,time.,0.24,139.6666667,Arthur
209.74,Five,0.33,139.8266667,Arthur
210.1,"goddamn�""",0.51,140.0666667,Arthur
210.64,"""Where",0.3,140.4266667,Lee
210.94,are,0.12,140.6266667,Lee
211.06,you,0.18,140.7066667,Lee
211.24,"now,",0.42,140.8266667,Lee
211.69,"Arthur?""",0.66,141.1266667,Lee
213.1,the,0.09,142.0666667,
213.19,gray-haired,0.39,142.1266667,
213.58,man,0.24,142.3866667,
213.82,asked.,0.27,142.5466667,
214.09,"""Home?""",0.6,142.7266667,Lee
215.41,He,0.15,143.6066667,
215.56,straightened,0.6,143.7066667,
216.19,his,0.18,144.1266667,
216.37,back,0.45,144.2466667,
216.82,so,0.36,144.5466667,
217.18,the,0.27,144.7866667,
217.48,girl,0.45,144.9866667,
217.93,could,0.27,145.2866667,
218.2,reach,0.27,145.4666667,
218.47,behind,0.39,145.6466667,
218.86,him,0.27,145.9066667,
219.13,for,0.12,146.0866667,
219.25,the,0.12,146.1666667,
219.37,cigarettes.,0.6,146.2466667,
220.51,"""Yeah",0.57,147.0066667,Arthur
221.23,Home. ,0.42,147.4866667,Arthur
222.16,Home,0.24,148.1066667,Arthur
222.4,sweet,0.27,148.2666667,Arthur
222.67,home.,0.27,148.4466667,Arthur
222.97,"Christ.""",0.57,148.6466667,Arthur
224.68,"""Look,",0.27,149.7866667,Lee
224.95,"Arthur,",0.39,149.9666667,Lee
225.67,you,0.15,150.4466667,Lee
225.82,want,0.21,150.5466667,Lee
226.03,my,0.21,150.6866667,Lee
226.24,"advice?""",0.54,150.8266667,Lee
226.93,He,0.12,151.2866667,
227.05,said.,0.33,151.3666667,
227.62,"Absently,",0.69,151.7466667,
228.31,he,0.33,152.2066667,
228.64,took,0.27,152.4266667,
228.91,his,0.15,152.6066667,
229.06,left,0.3,152.7066667,
229.36,hand,0.36,152.9066667,
229.72,out,0.21,153.1466667,
229.93,from,0.15,153.2866667,
230.08,between,0.33,153.3866667,
230.41,the,0.06,153.6066667,
230.47,girl's,0.24,153.6466667,
230.71,upper,0.24,153.8066667,
230.95,arm,0.24,153.9666667,
231.19,and,0.09,154.1266667,
231.28,chest,0.3,154.1866667,
231.58,wall.,0.69,154.3866667,
232.54,"""Get",0.24,155.0266667,Lee
232.78,in,0.12,155.1866667,Lee
232.9,bed,0.24,155.2666667,Lee
233.14,and,0.12,155.4266667,Lee
233.26,relax.,0.66,155.5066667,Lee
234.25,Tell,0.24,156.1666667,Lee
234.49,the,0.15,156.3266667,Lee
234.64,truth.,0.51,156.4266667,Lee
235.57,Is,0.12,157.0466667,Lee
235.69,it,0.09,157.1266667,Lee
235.78,going,0.18,157.1866667,Lee
235.96,to,0.09,157.3066667,Lee
236.05,do,0.12,157.3666667,Lee
236.17,you,0.15,157.4466667,Lee
236.32,any,0.33,157.5466667,Lee
236.65,good,0.33,157.7666667,Lee
236.98,to,0.12,157.9866667,Lee
237.1,sit,0.3,158.0666667,Lee
237.4,around,0.33,158.2666667,Lee
237.73,and,0.15,158.4866667,Lee
237.88,"stew?""",0.6,158.5866667,Lee
238.81,"""Yeah,",0.45,159.2066667,Arthur
239.32,I,0.09,159.5466667,Arthur
239.41,know.,0.3,159.6066667,Arthur
240.79,I,0.12,160.5266667,Arthur
240.91,wouldn't,0.27,160.6066667,Arthur
241.18,even,0.21,160.7866667,Arthur
241.39,"worry,",0.3,160.9266667,Arthur
241.69,for,0.15,161.1266667,Arthur
241.84,"Chrissake,",0.33,161.2266667,Arthur
242.38,but,0.3,161.5866667,Arthur
242.86,you,0.21,161.9066667,Arthur
243.07,can't,0.27,162.0466667,Arthur
243.34,trust,0.36,162.2266667,Arthur
243.7,her!,0.12,162.4666667,Arthur
243.88,I,0.15,162.5866667,Arthur
244.03,swear,0.36,162.6866667,Arthur
244.39,to,0.09,162.9266667,Arthur
244.48,God.,0.48,162.9866667,Arthur
245.05,I,0.54,163.3666667,Arthur
245.59,swear,0.24,163.7266667,Arthur
245.83,to,0.09,163.8866667,Arthur
245.92,God,0.21,163.9466667,Arthur
246.13,you,0.09,164.0866667,Arthur
246.22,"can't.""",0.27,164.1466667,Arthur
247.57,The,0.09,165.0466667,
247.66,gray-haired,0.42,165.1066667,
248.08,man,0.33,165.3866667,
248.47,turned,0.42,165.6466667,
248.89,his,0.18,165.9266667,
249.07,head,0.3,166.0466667,
249.37,to,0.09,166.2466667,
249.46,see,0.33,166.3066667,
249.79,what,0.15,166.5266667,
249.94,the,0.06,166.6266667,
250,girl,0.21,166.6666667,
250.21,was,0.18,166.8066667,
250.39,doing.,0.33,166.9266667,
251.29,She,0.18,167.5266667,
251.47,had,0.12,167.6466667,
251.59,picked,0.24,167.7266667,
251.83,up,0.09,167.8866667,
251.92,the,0.15,167.9466667,
